,Open,High,Low,Close,Volume,Dividends,Stock Splits,Sentiment,transformer_sentiment
2021-05-26,17.929516922934518,18.09778170220627,17.873429257508846,18.004301071166992,3753500,0.0,0.0,0,0
2021-05-27,18.14452314478641,18.209959058895155,18.107131958007812,18.107131958007812,2931900,0.0,0.0,0,0
2021-05-28,18.22047695436643,18.33382260854911,18.173248097126404,18.267704010009766,2151400,0.2,0.0,0,0
2021-06-01,18.107126060010042,18.25825477128512,18.050453243680977,18.201581954956055,9107300,0.0,0.0,0,0
2021-06-02,18.031564333080414,18.220476150512695,18.02211856204914,18.220476150512695,6886400,0.0,0.0,0,0
2021-06-03,18.116573747289102,18.192138110925068,18.031563612999076,18.07879066467285,5827400,0.0,0.0,0,0
2021-06-04,18.144909982262494,18.220476150512695,18.02211856204914,18.220476150512695,6484000,0.0,0.0,0,0
2021-06-07,18.220477175938363,18.399941430842784,18.154356774998263,18.324377059936523,10765100,0.0,0.0,0,0
2021-06-08,18.494395233863123,18.560513825659516,18.31492919784684,18.41883087158203,7916900,0.0,0.0,0,0
2021-06-09,18.41883091557974,18.60774272253198,18.41883091557974,18.56995964050293,4972800,0.0,0.0,0,0
2021-06-10,18.68330867589486,18.806100099752065,18.626634048025384,18.787208557128906,6716400,0.0,0.0,1,0
2021-06-11,18.88166412742235,19.410614700135067,18.815545531032843,19.40117073059082,14076000,0.0,0.0,0,0
2021-06-14,19.231151964025436,19.45784508442535,19.183923104610805,19.316162109375,10214000,0.0,0.0,0,0
2021-06-15,19.495626015342637,19.495626015342637,19.089466839756874,19.10835838317871,7477400,0.0,0.0,0,0
2021-06-16,19.27837927769478,19.363389424172546,19.17447758720044,19.250041961669922,5797500,0.0,0.0,0,0
2021-06-17,19.33504831362739,19.590078703010757,19.28782126445111,19.52396011352539,8568500,0.0,0.0,0,0
2021-06-18,19.448395602011825,19.495622650819303,19.04223649652035,19.070573806762695,11423400,0.0,0.0,0,0
2021-06-21,19.250038876988988,19.40116940330717,19.18392028512282,19.3917236328125,4007600,0.0,0.0,0,0
2021-06-22,19.363387901327602,19.62786409196931,19.278377761535506,19.608972549438477,5596100,0.0,0.0,0,0
2021-06-23,19.410617204990146,19.561745959553424,19.382281689507572,19.542856216430664,5710100,0.0,0.0,0,0
2021-06-24,20.166261650153256,20.260717566865274,20.015132904052734,20.015132904052734,5937000,0.0,0.0,0,0
2021-06-25,20.241822398599812,20.317386758119135,19.95845469920502,20.071802139282227,5249200,0.0,0.0,0,0
2021-06-28,20.185149166322702,20.30794057243033,20.024574680430327,20.10958480834961,4669000,0.0,0.0,0,0
2021-06-29,20.128476494174155,20.30794253732312,20.043466358029725,20.26071548461914,4748600,0.0,0.0,0,0
2021-06-30,20.22293447954176,20.24182602320352,19.99624136039098,20.015132904052734,6493500,0.0,0.0,0,0
2021-07-01,20.005683512213476,20.06235633134709,19.684534534462262,19.797880172729492,4670600,0.0,0.0,0,0
